name,run_id_minimal_pair_analysis_fr,state_minimal_pair_analysis_fr,seed_minimal_pair_analysis_fr,model_name_minimal_pair_analysis_fr,dataset_name_minimal_pair_analysis_fr,compute_subcat_bool_minimal_pair_analysis_fr,_runtime_minimal_pair_analysis_fr,_step_minimal_pair_analysis_fr,_timestamp_minimal_pair_analysis_fr,_wandb_minimal_pair_analysis_fr,test_minimal_pair_analysis_fr,run_id_minimal_pair_analysis_multiblimp,state_minimal_pair_analysis_multiblimp,seed_minimal_pair_analysis_multiblimp,model_name_minimal_pair_analysis_multiblimp,dataset_name_minimal_pair_analysis_multiblimp,compute_subcat_bool_minimal_pair_analysis_multiblimp,_runtime_minimal_pair_analysis_multiblimp,_step_minimal_pair_analysis_multiblimp,_timestamp_minimal_pair_analysis_multiblimp,_wandb_minimal_pair_analysis_multiblimp,test_minimal_pair_analysis_multiblimp
camembert-base,cd8qvbmb,finished,42,almanach/camembert-base,frblimp,True,2.285400605,0,1737295207.172337,{'runtime': 2},"{'accuracy': 57.07, 'accuracy_per_subcat': {'1': 59.79, '10': 51.65, '11': 60, '12': 64, '13': 43.75, '14': 28.87, '15': 91.67, '16': 100, '17': 90, '18': 96.67, '19': 75, '2': 44.21, '20': 1.59, '3': 45.36, '4': 67.71, '5': 56.57, '6': 42.27, '7': 81.58, '8': 49.06, '9': 35.4}}",w2kqeq5u,finished,42,almanach/camembert-base,qfrcola,False,8,0,1757734437.9634778,{'runtime': 8},{'accuracy': 50.98}
camembert-large,zaapff5j,finished,42,almanach/camembert-large,frblimp,True,2.578536167,0,1737295216.8623898,{'runtime': 2},"{'accuracy': 53.89, 'accuracy_per_subcat': {'1': 48.45, '10': 52.75, '11': 65, '12': 52, '13': 35.42, '14': 22.68, '15': 93.33, '16': 100, '17': 90, '18': 95, '19': 65, '2': 38.95, '20': 0, '3': 42.27, '4': 62.5, '5': 30.3, '6': 49.48, '7': 82.46, '8': 55.66, '9': 40.71}}",6e44rd08,finished,42,almanach/camembert-large,qfrcola,False,15,0,1757734463.8656566,{'runtime': 15},{'accuracy': 56.86}
bert-base-french-europeana-cased,mkehebo2,finished,42,dbmdz/bert-base-french-europeana-cased,frblimp,True,18.036031228,0,1737295241.0959933,{'runtime': 18},"{'accuracy': 61.56, 'accuracy_per_subcat': {'1': 63.92, '10': 48.35, '11': 68, '12': 74, '13': 40.62, '14': 27.84, '15': 90, '16': 88.33, '17': 88.33, '18': 91.67, '19': 71.67, '2': 68.42, '20': 1.59, '3': 47.42, '4': 77.08, '5': 54.55, '6': 49.48, '7': 83.33, '8': 61.32, '9': 56.64}}",ta9m86yn,finished,42,dbmdz/bert-base-french-europeana-cased,qfrcola,False,10,0,1757734484.865406,{'runtime': 10},{'accuracy': 74.12}
xlm-roberta-base,fisfqbj8,finished,42,FacebookAI/xlm-roberta-base,frblimp,True,3.793394235,0,1737295251.0480108,{'runtime': 3},"{'accuracy': 50.94, 'accuracy_per_subcat': {'1': 55.67, '10': 56.04, '11': 71, '12': 61, '13': 55.21, '14': 36.08, '15': 43.33, '16': 26.67, '17': 25, '18': 60, '19': 26.67, '2': 67.37, '20': 50.79, '3': 46.39, '4': 58.33, '5': 29.29, '6': 53.61, '7': 61.4, '8': 51.89, '9': 53.1}}",mqep6ife,finished,42,FacebookAI/xlm-roberta-base,qfrcola,False,13,0,1757734508.8007388,{'runtime': 13},{'accuracy': 56.08}
xlm-roberta-large,egd3puyp,finished,42,FacebookAI/xlm-roberta-large,frblimp,True,4.126532907,0,1737295265.870916,{'runtime': 4},"{'accuracy': 72.69, 'accuracy_per_subcat': {'1': 63.92, '10': 68.13, '11': 82, '12': 92, '13': 68.75, '14': 58.76, '15': 76.67, '16': 88.33, '17': 73.33, '18': 68.33, '19': 56.67, '2': 82.11, '20': 55.56, '3': 79.38, '4': 84.38, '5': 68.69, '6': 72.16, '7': 75.44, '8': 68.87, '9': 64.6}}",uojhxovx,finished,42,FacebookAI/xlm-roberta-large,qfrcola,False,23,0,1757734542.6379502,{'runtime': 23},{'accuracy': 78.04}
Chocolatine-14B-Instruct-DPO-v1.2,im672eca,finished,42,jpacifico/Chocolatine-14B-Instruct-DPO-v1.2,frblimp,True,379.943756361,0,1737295651.9877665,{'runtime': 379},"{'accuracy': 88.02, 'accuracy_per_subcat': {'1': 90.72, '10': 90.11, '11': 94, '12': 99, '13': 84.38, '14': 81.44, '15': 86.67, '16': 88.33, '17': 88.33, '18': 76.67, '19': 78.33, '2': 97.89, '20': 44.44, '3': 93.81, '4': 95.83, '5': 95.96, '6': 94.85, '7': 92.11, '8': 88.68, '9': 76.11}}",xe4c9cls,finished,42,jpacifico/Chocolatine-14B-Instruct-DPO-v1.2,qfrcola,False,309,0,1757734861.7242727,{'runtime': 309},{'accuracy': 97.65}
French-Alpaca-Llama3-8B-Instruct-v1.0,wntid8l1,finished,42,jpacifico/French-Alpaca-Llama3-8B-Instruct-v1.0,frblimp,True,472.551259052,0,1737296509.6998112,{'runtime': 472},"{'accuracy': 87.05, 'accuracy_per_subcat': {'1': 92.78, '10': 87.91, '11': 90, '12': 96, '13': 85.42, '14': 85.57, '15': 80, '16': 96.67, '17': 88.33, '18': 86.67, '19': 75, '2': 90.53, '20': 28.57, '3': 95.88, '4': 93.75, '5': 96.97, '6': 92.78, '7': 91.23, '8': 89.62, '9': 74.34}}",o4va2yy7,finished,42,jpacifico/French-Alpaca-Llama3-8B-Instruct-v1.0,qfrcola,False,203,0,1757735450.973489,{'runtime': 203},{'accuracy': 92.94}
Lucie-7B,3ok9h2t9,finished,42,OpenLLM-France/Lucie-7B,frblimp,True,184.964251354,0,1737296700.8942926,{'runtime': 184},"{'accuracy': 90.01, 'accuracy_per_subcat': {'1': 89.69, '10': 96.7, '11': 94, '12': 100, '13': 83.33, '14': 89.69, '15': 90, '16': 98.33, '17': 93.33, '18': 95, '19': 75, '2': 98.95, '20': 39.68, '3': 95.88, '4': 96.88, '5': 98.99, '6': 94.85, '7': 96.49, '8': 92.45, '9': 66.37}}",2jq1ri7x,finished,42,OpenLLM-France/Lucie-7B,qfrcola,False,160,0,1757735621.1109302,{'runtime': 160},{'accuracy': 99.22}
Lucie-7B-Instruct-human-data,v63mh7w0,finished,42,OpenLLM-France/Lucie-7B-Instruct-human-data,frblimp,True,179.137078065,0,1737297079.075107,{'runtime': 179},"{'accuracy': 83.02, 'accuracy_per_subcat': {'1': 76.29, '10': 90.11, '11': 85, '12': 94, '13': 76.04, '14': 75.26, '15': 86.67, '16': 98.33, '17': 91.67, '18': 96.67, '19': 71.67, '2': 83.16, '20': 15.87, '3': 94.85, '4': 89.58, '5': 96.97, '6': 92.78, '7': 91.23, '8': 86.79, '9': 57.52}}",fg946f7j,finished,42,OpenLLM-France/Lucie-7B-Instruct-human-data,qfrcola,False,68,0,1757747775.1098337,{'runtime': 68},{'accuracy': 94.51}
Claire-7B-FR-Instruct-0.1,glt1fgcv,finished,42,OpenLLM-France/Claire-7B-FR-Instruct-0.1,frblimp,True,610.448446136,0,1737297695.770977,{'runtime': 610},"{'accuracy': 89.32, 'accuracy_per_subcat': {'1': 92.78, '10': 96.7, '11': 92, '12': 99, '13': 87.5, '14': 81.44, '15': 91.67, '16': 95, '17': 88.33, '18': 81.67, '19': 76.67, '2': 97.89, '20': 38.1, '3': 97.94, '4': 97.92, '5': 97.98, '6': 96.91, '7': 95.61, '8': 91.51, '9': 69.03}}",wgrkhbpg,finished,42,OpenLLM-France/Claire-7B-FR-Instruct-0.1,qfrcola,False,149,0,1757736122.5609913,{'runtime': 149},{'accuracy': 97.65}
gpt2,mjy5dfoj,finished,42,gpt2,frblimp,True,17.153201915,0,1737297719.2409668,{'runtime': 17},"{'accuracy': 58.6, 'accuracy_per_subcat': {'1': 58.76, '10': 46.15, '11': 71, '12': 49, '13': 51.04, '14': 36.08, '15': 70, '16': 55, '17': 63.33, '18': 66.67, '19': 58.33, '2': 56.84, '20': 22.22, '3': 71.13, '4': 66.67, '5': 85.86, '6': 60.82, '7': 70.18, '8': 50, '9': 55.75}}",j07diuq8,finished,42,gpt2,qfrcola,False,9,0,1757736142.0995195,{'runtime': 9},{'accuracy': 66.67}
llama-3-8B-bnb-4bit,6dlxqcnt,finished,42,unsloth/llama-3-8B-bnb-4bit,frblimp,True,183.462328691,0,1737297908.7729664,{'runtime': 183},"{'accuracy': 89.1, 'accuracy_per_subcat': {'1': 92.78, '10': 92.31, '11': 90, '12': 95, '13': 86.46, '14': 89.69, '15': 93.33, '16': 98.33, '17': 95, '18': 88.33, '19': 73.33, '2': 96.84, '20': 31.75, '3': 98.97, '4': 95.83, '5': 97.98, '6': 92.78, '7': 96.49, '8': 89.62, '9': 69.91}}",f3u5f11u,finished,42,unsloth/llama-3-8B-bnb-4bit,qfrcola,False,95,0,1757736247.3321006,{'runtime': 95},{'accuracy': 97.65}
llama-3-8B-Instruct-bnb-4bit,xloyjagx,finished,42,unsloth/llama-3-8B-Instruct-bnb-4bit,frblimp,True,183.553317066,0,1737298098.5877836,{'runtime': 183},"{'accuracy': 88.47, 'accuracy_per_subcat': {'1': 93.81, '10': 96.7, '11': 92, '12': 97, '13': 88.54, '14': 87.63, '15': 93.33, '16': 90, '17': 96.67, '18': 85, '19': 66.67, '2': 92.63, '20': 38.1, '3': 95.88, '4': 95.83, '5': 100, '6': 91.75, '7': 88.6, '8': 90.57, '9': 69.91}}",ff31a6ms,finished,42,unsloth/llama-3-8B-Instruct-bnb-4bit,qfrcola,False,86,0,1757736344.065886,{'runtime': 86},{'accuracy': 95.69}
llama-3-70b-bnb-4bit,46chidc9,finished,42,unsloth/llama-3-70b-bnb-4bit,frblimp,True,1645.357260414,0,1737299750.2446055,{'runtime': 1645},"{'accuracy': 88.25, 'accuracy_per_subcat': {'1': 91.75, '10': 92.31, '11': 92, '12': 95, '13': 84.38, '14': 85.57, '15': 93.33, '16': 98.33, '17': 86.67, '18': 90, '19': 71.67, '2': 93.68, '20': 38.1, '3': 94.85, '4': 95.83, '5': 97.98, '6': 95.88, '7': 96.49, '8': 87.74, '9': 67.26}}",tr7siqzn,finished,42,unsloth/llama-3-70b-bnb-4bit,qfrcola,False,610,0,1757736964.7275257,{'runtime': 610},{'accuracy': 98.43}
llama-3-70b-Instruct-bnb-4bit,6himmtwz,finished,42,unsloth/llama-3-70b-Instruct-bnb-4bit,frblimp,True,1624.19722601,0,1737301381.0738285,{'runtime': 1624},"{'accuracy': 87.68, 'accuracy_per_subcat': {'1': 90.72, '10': 97.8, '11': 89, '12': 95, '13': 80.21, '14': 84.54, '15': 98.33, '16': 98.33, '17': 91.67, '18': 88.33, '19': 68.33, '2': 94.74, '20': 30.16, '3': 95.88, '4': 95.83, '5': 97.98, '6': 92.78, '7': 85.09, '8': 91.51, '9': 72.57}}",nr1ojfyk,finished,42,unsloth/llama-3-70b-Instruct-bnb-4bit,qfrcola,False,616,0,1757737591.2342885,{'runtime': 616},{'accuracy': 94.12}
Meta-Llama-3.1-8B-bnb-4bit,kyg7458j,finished,42,unsloth/Meta-Llama-3.1-8B-bnb-4bit,frblimp,True,183.74907571,0,1737301571.3249056,{'runtime': 183},"{'accuracy': 87.85, 'accuracy_per_subcat': {'1': 90.72, '10': 92.31, '11': 89, '12': 96, '13': 82.29, '14': 85.57, '15': 85, '16': 100, '17': 95, '18': 80, '19': 75, '2': 94.74, '20': 31.75, '3': 97.94, '4': 95.83, '5': 96.97, '6': 92.78, '7': 94.74, '8': 87.74, '9': 73.45}}",5iqwva6v,finished,42,unsloth/Meta-Llama-3.1-8B-bnb-4bit,qfrcola,False,86,0,1757737687.804494,{'runtime': 86},{'accuracy': 96.47}
Meta-Llama-3.1-8B-Instruct-bnb-4bit,ij17nfsb,finished,42,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,frblimp,True,186.254615941,0,1737301763.9286673,{'runtime': 186},"{'accuracy': 88.7, 'accuracy_per_subcat': {'1': 91.75, '10': 93.41, '11': 92, '12': 96, '13': 84.38, '14': 87.63, '15': 90, '16': 98.33, '17': 91.67, '18': 83.33, '19': 71.67, '2': 94.74, '20': 30.16, '3': 96.91, '4': 96.88, '5': 97.98, '6': 93.81, '7': 93.86, '8': 87.74, '9': 78.76}}",s30nbwjq,finished,42,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,qfrcola,False,85,0,1757737783.201833,{'runtime': 85},{'accuracy': 98.04}
Meta-Llama-3.1-70B,jb3hst9t,finished,42,unsloth/Meta-Llama-3.1-70B,frblimp,True,1646.986058931,0,1737303417.2974014,{'runtime': 1646},"{'accuracy': 89.44, 'accuracy_per_subcat': {'1': 91.75, '10': 93.41, '11': 92, '12': 96, '13': 82.29, '14': 86.6, '15': 96.67, '16': 100, '17': 86.67, '18': 86.67, '19': 68.33, '2': 96.84, '20': 49.21, '3': 94.85, '4': 93.75, '5': 97.98, '6': 94.85, '7': 94.74, '8': 94.34, '9': 75.22}}",rh3vkmj8,finished,42,unsloth/Meta-Llama-3.1-70B,qfrcola,False,610,0,1757738404.0688922,{'runtime': 610},{'accuracy': 97.25}
Meta-Llama-3.1-70B-Instruct,wuwmxcpi,finished,42,unsloth/Meta-Llama-3.1-70B-Instruct,frblimp,True,1640.919945215,0,1737305064.829208,{'runtime': 1640},"{'accuracy': 88.64, 'accuracy_per_subcat': {'1': 91.75, '10': 91.21, '11': 95, '12': 93, '13': 83.33, '14': 90.72, '15': 95, '16': 100, '17': 88.33, '18': 91.67, '19': 73.33, '2': 94.74, '20': 41.27, '3': 93.81, '4': 95.83, '5': 96.97, '6': 95.88, '7': 89.47, '8': 88.68, '9': 70.8}}",hrmux2d8,finished,42,unsloth/Meta-Llama-3.1-70B-Instruct,qfrcola,False,625,0,1757739162.0903533,{'runtime': 625},{'accuracy': 95.69}
Llama-3.2-1B-bnb-4bit,7twe33yk,finished,42,unsloth/Llama-3.2-1B-bnb-4bit,frblimp,True,94.865642449,0,1737305166.3532288,{'runtime': 94},"{'accuracy': 85.12, 'accuracy_per_subcat': {'1': 88.66, '10': 87.91, '11': 87, '12': 93, '13': 82.29, '14': 85.57, '15': 91.67, '16': 91.67, '17': 90, '18': 73.33, '19': 73.33, '2': 89.47, '20': 19.05, '3': 94.85, '4': 91.67, '5': 98.99, '6': 90.72, '7': 90.35, '8': 84.91, '9': 73.45}}",grbsy7zo,finished,42,unsloth/Llama-3.2-1B-bnb-4bit,qfrcola,False,30,0,1757739264.5461245,{'runtime': 30},{'accuracy': 94.9}
Llama-3.2-1B-Instruct-bnb-4bit,s11liyoi,finished,42,unsloth/Llama-3.2-1B-Instruct-bnb-4bit,frblimp,True,93.372771713,0,1737305266.0099287,{'runtime': 93},"{'accuracy': 82.85, 'accuracy_per_subcat': {'1': 87.63, '10': 84.62, '11': 88, '12': 95, '13': 82.29, '14': 82.47, '15': 76.67, '16': 88.33, '17': 86.67, '18': 60, '19': 66.67, '2': 88.42, '20': 19.05, '3': 92.78, '4': 94.79, '5': 98.99, '6': 92.78, '7': 82.46, '8': 85.85, '9': 69.03}}",arsvogbl,finished,42,unsloth/Llama-3.2-1B-Instruct-bnb-4bit,qfrcola,False,35,0,1757739361.9385526,{'runtime': 35},{'accuracy': 90.98}
Llama-3.2-3B-bnb-4bit,qsdowzh3,finished,42,unsloth/Llama-3.2-3B-bnb-4bit,frblimp,True,158.47887444,0,1737305430.8408952,{'runtime': 158},"{'accuracy': 88.02, 'accuracy_per_subcat': {'1': 92.78, '10': 93.41, '11': 89, '12': 96, '13': 88.54, '14': 89.69, '15': 90, '16': 95, '17': 93.33, '18': 93.33, '19': 73.33, '2': 93.68, '20': 20.63, '3': 96.91, '4': 93.75, '5': 100, '6': 91.75, '7': 93.86, '8': 87.74, '9': 68.14}}",zizw28fu,finished,42,unsloth/Llama-3.2-3B-bnb-4bit,qfrcola,False,50,0,1757739449.4742608,{'runtime': 50},{'accuracy': 96.86}
Llama-3.2-3B-Instruct-bnb-4bit,dxbjt451,finished,42,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,frblimp,True,159.234095592,0,1737305596.3194742,{'runtime': 159},"{'accuracy': 86.6, 'accuracy_per_subcat': {'1': 93.81, '10': 87.91, '11': 88, '12': 94, '13': 82.29, '14': 88.66, '15': 91.67, '16': 95, '17': 86.67, '18': 80, '19': 76.67, '2': 91.58, '20': 22.22, '3': 95.88, '4': 93.75, '5': 97.98, '6': 93.81, '7': 91.23, '8': 87.74, '9': 70.8}}",v6ks63fw,finished,42,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,qfrcola,False,50,0,1757739543.2595818,{'runtime': 50},{'accuracy': 95.69}
bloom-560m,iudtw2ze,finished,42,bigscience/bloom-560m,frblimp,True,203.155737372,0,1737305805.7900455,{'runtime': 203},"{'accuracy': 85.52, 'accuracy_per_subcat': {'1': 89.69, '10': 91.21, '11': 90, '12': 97, '13': 84.38, '14': 97.94, '15': 81.67, '16': 90, '17': 76.67, '18': 76.67, '19': 80, '2': 90.53, '20': 20.63, '3': 98.97, '4': 92.71, '5': 95.96, '6': 91.75, '7': 88.6, '8': 85.85, '9': 61.95}}",3hqypvix,finished,42,bigscience/bloom-560m,qfrcola,False,35,0,1757739596.9755218,{'runtime': 35},{'accuracy': 96.86}
bloom-1b1,qfe3oo2p,finished,42,bigscience/bloom-1b1,frblimp,True,205.87265267,0,1737306017.9120493,{'runtime': 205},"{'accuracy': 86.37, 'accuracy_per_subcat': {'1': 88.66, '10': 91.21, '11': 91, '12': 98, '13': 81.25, '14': 97.94, '15': 81.67, '16': 90, '17': 80, '18': 81.67, '19': 85, '2': 95.79, '20': 25.4, '3': 97.94, '4': 91.67, '5': 97.98, '6': 93.81, '7': 87.72, '8': 82.08, '9': 65.49}}",t6a360dh,finished,42,bigscience/bloom-1b1,qfrcola,False,75,0,1757739756.6358988,{'runtime': 75},{'accuracy': 97.65}
bloom-1b7,8qz6d04i,finished,42,bigscience/bloom-1b7,frblimp,True,212.297069866,0,1737306236.469133,{'runtime': 212},"{'accuracy': 87.85, 'accuracy_per_subcat': {'1': 88.66, '10': 93.41, '11': 91, '12': 100, '13': 80.21, '14': 97.94, '15': 86.67, '16': 96.67, '17': 80, '18': 81.67, '19': 83.33, '2': 97.89, '20': 28.57, '3': 97.94, '4': 92.71, '5': 96.97, '6': 94.85, '7': 91.23, '8': 85.85, '9': 69.03}}",vi6bcqoa,finished,42,bigscience/bloom-1b7,qfrcola,False,85,0,1757739939.0084023,{'runtime': 85},{'accuracy': 98.43}
